uid_adresse;cle_interop;commune_insee;commune_nom;commune_deleguee_insee;commune_deleguee_nom;voie_nom;lieudit_complement_nom;numero;suffixe;position;x;y;long;lat;cad_parcelles;source;date_der_maj;certification_commune
;54084_0200_00001;54084;Mont-Bonvillers;;;Rue Joffre;;1;;segment;906010.92;6917321.29;5.833622;49.322203;;inconnue;;0
;54084_0200_00002;54084;Mont-Bonvillers;;;Rue Joffre;;2;;segment;906030.59;6917318.43;5.833891;49.322171;;inconnue;;0
;54084_0200_00004;54084;Mont-Bonvillers;;;Rue Joffre;;4;;entrée;906003.4;6917309.89;5.833513;49.322103;;inconnue;;0
;54084_0200_00005;54084;Mont-Bonvillers;;;Rue Joffre;;5;;segment;905995.7;6917323.64;5.833414;49.322229;;inconnue;;0
;54084_0200_00006;54084;Mont-Bonvillers;;;Rue Joffre;;6;;entrée;905997.28;6917324.25;5.833436;49.322234;;inconnue;;0
;54084_0200_00007;54084;Mont-Bonvillers;;;Rue Joffre;;7;;entrée;905989.03;6917324.96;5.833323;49.322243;;inconnue;;0
;54084_0200_00008;54084;Mont-Bonvillers;;;Rue Joffre;;8;;segment;906030.59;6917318.43;5.833891;49.322171;;inconnue;;0
;54084_0200_00009;54084;Mont-Bonvillers;;;Rue Joffre;;9;;entrée;905985.02;6917325.15;5.833268;49.322246;;inconnue;;0
;54084_0200_00010;54084;Mont-Bonvillers;;;Rue Joffre;;10;;entrée;905980.48;6917325.99;5.833206;49.322255;;inconnue;;0
;54084_0200_00011;54084;Mont-Bonvillers;;;Rue Joffre;;11;;entrée;905973.48;6917326.4;5.83311;49.322261;;inconnue;;0
;54084_0200_00014;54084;Mont-Bonvillers;;;Rue Joffre;;14;;segment;906030.59;6917318.43;5.833891;49.322171;;inconnue;;0
;54084_0200_00015;54084;Mont-Bonvillers;;;Rue Joffre;;15;;entrée;905956.98;6917328.04;5.832884;49.322281;;inconnue;;0
