id;nom_voie;id_fantoir;numero;rep;code_insee;code_post;alias;nom_ld;nom_afnor;libelle_acheminement;x;y;lon;lat;nom_commune
ADRNIVX_0000000265767225;allée des acacias;0020;18;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905959;6917588.2;5.8330401618155;49.3246174823707;Mont-Bonvillers
ADRNIVX_0000000265767211;allée des acacias;0020;5;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906072.5;6917609.5;5.83461056785839;49.3247722194003;Mont-Bonvillers
ADRNIVX_0000000265767229;allée des acacias;0020;22;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905944.5;6917572.5;5.83283313583853;49.3244811194983;Mont-Bonvillers
ADRNIVX_0000000265767261;allée des acacias;0020;5184;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906049.7;6917585.1;5.83428517193925;49.3245603819194;Mont-Bonvillers
ADRNIVX_0000000265767255;allée des acacias;0020;48;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906028;6917553.2;5.83397119551884;49.3242808138118;Mont-Bonvillers
ADRNIVX_0000000265767231;allée des acacias;0020;24;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905955.1;6917541.4;5.83296347577444;49.324198320382;Mont-Bonvillers
ADRNIVX_0000000265767216;allée des acacias;0020;10;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906021.7;6917619.5;5.83391732788836;49.3248784398004;Mont-Bonvillers
ADRNIVX_0000000265767253;allée des acacias;0020;46;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906047.9;6917515.5;5.83422608505218;49.3239357235544;Mont-Bonvillers
ADRNIVX_0000000265767246;allée des acacias;0020;39;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905948.4;6917633.9;5.83291702325566;49.3250314378866;Mont-Bonvillers
ADRNIVX_0000000265767249;allée des acacias;0020;42;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906086.3;6917487.7;5.83474010832922;49.3236735989977;Mont-Bonvillers
ADRNIVX_0000000265767239;allée des acacias;0020;32;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906005;6917439.7;5.8335990947511;49.3232686245459;Mont-Bonvillers
ADRNIVX_0000000265767219;allée des acacias;0020;12;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906014.9;6917616.5;5.83382239091333;49.3248536831213;Mont-Bonvillers
ADRNIVX_0000000265767220;allée des acacias;0020;13;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;906077;6917572.7;5.83465424990681;49.3244401816189;Mont-Bonvillers
ADRNIVX_0000000265767252;allée des acacias;0020;45;"";54084;54111;"";"";ALLEE DES ACACIAS;MONT BONVILLERS;905980;6917674.5;5.83337135390244;49.3253859708395;Mont-Bonvillers
